,Unnamed: 0,title,plot,fact,id,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,year
0,0,"""BLESSED""",No Information,No Information,564096,"Documentary, Adventure",en,"Supreme presents ""BLESSED"" a full length video directed by William Strobeck featuring Tyshawn Jones Ben Kadow Sean Pablo Aidan Mackey Na-kel Smith Sage Elsesser Vincent Touzery Kevin Bradley Rowan Zorilla Kevin Rodrigues Mark Gonzales Jason Dill and more.",1.506,Supreme,11/22/2018,0,0,85,Released,No Information,4.0,2,"Tyshawn Jones, Ben Kadow, Aidan Mackey, Sean Pablo, Vincent Touzery",skateboarding,2018
1,1,"""That's Awesome!"": The Story of 'Dumb and Dumber To'",No Information,No Information,336076,"Documentary, Comedy",en,An expansive five-part 45 minute making-of with cast and crew interviews.,2.51,No Information,2/17/2015,0,0,45,Released,No Information,7.6,7,"Steve Tom, Rob Riggle, Jeff Daniels, Jim Carrey, Carly Craig",No Information,2015
2,2,"""Weird Al"" Yankovic: The Ultimate Video Collection",No Information,"""Weird Al"" Yankovic in 3-D followed in February 1984. It peaked at number 17 on the Billboard 200 and was certified platinum by the RIAA, while also charting in Australia and Canada. The album's lead single ""Eat It"" was a commercial success, topping the Australian singles chart and also reaching the top 15 in Canada and the United States. Follow-up singles ""King of Suede"" and ""I Lost on Jeopardy"" peaked at numbers 62 and 81 respectively on the Hot 100. Yankovic's third studio album, Dare to Be Stupid, was released in June 1985, peaked at number 17 on the Billboard 200, and produced six singles, the most successful being the Hot 100 hit ""Like a Surgeon"". Issued in October 1986, his fourth studio album Polka Party! charted at a disappointing number 177 on the Billboard 200, with the album and its accompanying singles failing to match the commercial success of Yankovic's previous work. His fifth studio album, released in April 1988, Even Worse, fared better commercially, peaking at number 27 on the Billboard 200 and earning him a minor chart hit with the single ""Fat"". Released later in October 1988 was Peter and the Wolf, a collaboration with American composer Wendy Carlos. ",381915,Music,en,"A collection of Weird Al Yankovic's parody and original music videos including ""The Saga Begins"" and ""All About The Pentiums"" from the ""Running With Scissors"" album and ""Bob"" from the ""Poodle Hat"" album.",1.679,No Information,2/9/2003,0,0,90,Released,No Information,8.2,5,'Weird Al' Yankovic,No Information,2003
3,3,"""cherry""",No Information,No Information,263765,Documentary,en,"Supreme presents ""cherry"" a video by William Strobeck featuring Tyshawn Jones Sage Elsesser Sean Pablo Nakel Smith Kevin Bradley Aidan Mackey Paulo Diaz Mark Gonzales Alex Olson Dylan Rieder Jason Dill…",1.581,Supreme,3/20/2014,0,0,39,Released,No Information,10.0,1,"Tyshawn Jones, Sage Elsesser, Na, kel Smith, Kevin Bradley",skateboarding,2014
4,4,#1 Cheerleader Camp,No Information,No Information,41371,Comedy,en,A pair of horny college guys get summer jobs at a sexy cheerleader camp.,9.185,The Asylum,7/27/2010,0,0,95,Released,Grab your spirit sticks!,4.8,84,"Charlene Tilton, Jay Gillespie, Harmony Blossom, Hector David Jr., Erica Duke","cheerleader, sports, teenage girl",2010
5,5,#ALLMYMOVIES,No Information,No Information,368247,Documentary,en,Shia LaBeouf watches all his movies in reverse chronological order over a period of three days while you can via live stream watch him watch himself.,1.95,newhive,11/12/2015,0,0,4320,Released,No Information,7.5,6,Shia LaBeouf,"performance art, woman director",2015
6,6,#AmeriCAN,No Information,No Information,327497,No Information,en,At the dinner table sits a white family: the father (a police officer) a mother and their two sons—a teenager and his younger brother. The teenager has an African-American friend J.B. whom he wants to hang out with but his father doesn’t want him leaving the house to meet up with J.B.—and especially not at night. “I want to keep you from bad situations” the father explains to his son—an eerie foretelling but more important indicative of the violence that this white man associates with all black boys even J.B. a black boy he knows personally and considers to be “a good kid.”,1.4,"Tiny Giant Entertainment, Hewes Pictures",10/29/2014,0,0,15,Released,No Information,0.0,0,"Joseph Millson, Sarah, Jane Potts, Jance Enslin, Shyhiem Parker",No Information,2014
7,7,#AnneFrank. Parallel Stories,No Information,No Information,610643,"Documentary, Drama, History",en,One single Anne Frank moves us more than the countless others who suffered just as she did but whose faces have remained in the shadows-Primo Levi. The Oscar®-winning Helen Mirren will introduce audiences to Anne Frank's story through the words in her diary. The set will be her room in the secret refuge in Amsterdam reconstructed in every detail by set designers from the Piccolo Theatre in Milan. Anne Frank this year would have been 90 years old. Anne's story is intertwined with that of five Holocaust survivors teenage girls just like her with the same ideals the same desire to live: Arianna Szörenyi Sarah Lichtsztejn-Montard Helga Weiss and sisters Andra and Tatiana Bucci. Their testimonies alternate with those of their children and grandchildren.,11.541,"Nexo Digital, 3D Produzioni",10/18/2019,0,0,92,Released,No Information,7.1,41,"Helen Mirren, Anne Frank, Martina Gatti, Arianna Szorenyi",anne frank,2019
8,8,#BLESSED,No Information,No Information,696020,Documentary,en,C3 is an Evangelical church that opened in Toronto in 2013 quickly amassing a large following amongst the city’s young hip and tattooed. #BLESSED offers an intimate look inside this fast-growing millennial church and follows the process of selling salvation in the 21st century as Pastor Sam and his team grow the church from two locations to three living out their mission to save as many Torontonian souls as possible.,2.398,Notice Pictures Inc.,4/30/2020,0,0,75,Released,No Information,0.0,0,No Information,No Information,2020
9,9,#Captured,No Information,No Information,476424,"Horror, Thriller",en,A zealous vigilante looking to clean the Internet of sin targets a group of teens that broadcast misadventures on their chatroom.,5.298,"Uncork'd Entertainment, Thriller Films, Elliptic Entertainment, Ignite Pictures, Surreal Post Group",9/5/2017,0,0,81,Released,Cleansing the internet of all sin,3.1,12,"Lizze Gordon, Cody Renee Cameron, Eve Marlowe, Adam Horner, Gabrielle Romanello","stalker, serial killer, religious fundamentalism, computer screen, found footage",2017
